,QB (Round 1),,,,,
SR No.,Year,Pick,Name,Team,Yearly Average,3.267
1,2024,1,Caleb Williams,Bears,,
2,2024,2,Jayden Daniels,Commanders,,
3,2024,3,Drake Maye,Patriots,,
4,2024,8,Michael Penix,Falcons,,
5,2024,10,J.J. McCarthy,Vikings,,
6,2024,12,Bo Nix,Broncos,,
7,2023,1,Bryce Young,Panthers,,
8,2023,2,C.J. Stroud,Texans,,
9,2023,4,Anthony Richardson,Colts,,
10,2022,20,Kenny Pickett,Steelers,,
11,2021,1,Trevor Lawrence,Jaguars,,
12,2021,2,Zach Wilson,Jets,,
13,2021,3,Trey Lance,49ers,,
14,2021,11,Justin Fields,Bears,,
15,2021,15,Mac Jones,Patriots,,
16,2020,1,Joe Burrow,Bengals,,
17,2020,5,Tua Tagovailoa,Dolphins,,
18,2020,6,Justin Herbert,Chargers,,
19,2020,26,Jordan Love,Packers,,
20,2019,1,Kyler Murray,Cardinals,,
21,2019,6,Daniel Jones,Giants,,
22,2019,15,Dwayne Haskins,Redskins,,
23,2018,1,Baker Mayfield,Browns,,
24,2018,3,Sam Darnold,Jets,,
25,2018,7,Josh Allen,Bills,,
26,2018,10,Josh Rosen,Cardinals,,
27,2018,32,Lamar Jackson,Ravens,,
28,2017,2,Mitchell Trubisky,Bears,,
29,2017,10,Patrick Mahomes,Chiefs,,
30,2017,12,Deshaun Watson,Texans,,
31,2016,1,Jared Goff,Rams,,
32,2016,2,Carson Wentz,Eagles,,
33,2016,26,Paxton Lynch,Broncos,,
34,2015,1,Jameis Winston,Buccaneers,,
35,2015,2,Marcus Mariota,Titans,,
36,2014,3,Blake Bortles,Jaguars,,
37,2014,22,Johnny Manziel,Browns,,
38,2014,32,Teddy Bridgewater,Vikings,,
39,2013,16,EJ Manuel,Bills,,
40,2012,1,Andrew Luck,Colts,,
41,2012,2,Robert Griffin,Redskins,,
42,2012,8,Ryan Tannehill,Dolphins,,
43,2012,22,Brandon Weeden,Browns,,
44,2011,1,Cam Newton,Panthers,,
45,2011,8,Jake Locker,Titans,,
46,2011,10,Blaine Gabbert,Jaguars,,
47,2011,12,Christian Ponder,Vikings,,
48,2010,1,Sam Bradford,Rams,,
49,2010,25,Tim Tebow,Broncos,,
,,,,,,
,,,,,,
,RB (Round 1),,,,Yearly Average,1.40
,Year,Pick,Name,Team,,
1,2023,8,Bijan Robinson,Falcons,,
2,2023,12,Jahmyr Gibbs,Lions,,
3,2021,24,Najee Harris,Steelers,,
4,2021,25,Travis Etienne,Jaguars,,
5,2020,32,Clyde Edwards-Helaire,Chiefs,,
6,2019,24,Josh Jacobs,Raiders,,
7,2018,2,Saquon Barkley,Giants,,
8,2018,27,Rashaad Penny,Seahawks,,
9,2018,31,Sony Michel,Patriots,,
10,2017,4,Leonard Fournette,Jaguars,,
11,2017,8,Christian McCaffrey,Panthers,,
12,2016,4,Ezekiel Elliott,Cowboys,,
13,2015,10,Todd Gurley,Rams,,
14,2015,15,Melvin Gordon,Chargers,,
15,2012,3,Trent Richardson,Browns,,
16,2012,31,Doug Martin,Buccaneers,,
17,2012,32,David Wilson,Giants,,
18,2011,28,Mark Ingram,Saints,,
19,2010,9,C.J. Spiller,Bills,,
20,2010,12,Ryan Mathews,Chargers,,
21,2010,30,Jahvid Best,Lions,,
,,,,,,
,,,,,,
,WR (Round 1),,,,Yearly Average,4.6
,Year,Pick,Name,Team,,
1,2024,4,Marvin Harrison,Cardinals,,
2,2024,6,Malik Nabers,Giants,,
3,2024,9,Rome Odunze,Bears,,
4,2024,23,Brian Thomas,Jaguars,,
5,2024,28,Xavier Worthy,Chiefs,,
6,2024,31,Ricky Pearsall,49ers,,
7,2024,32,Xavier Legette,Panthers,,
8,2023,20,Jaxon Smith-Njigba,Seahawks,,
9,2023,21,Quentin Johnston,Chargers,,
10,2023,22,Zay Flowers,Ravens,,
11,2023,23,Jordan Addison,Vikings,,
12,2022,8,Drake London,Falcons,,
13,2022,10,Garrett Wilson,Jets,,
14,2022,11,Chris Olave,Saints,,
15,2022,12,Jameson Williams,Lions,,
