name,college_team,college_conference,nfl_team,year,overall,round,pick,position,height,weight,season_before_draft,QBR,passing_completions,passing_att,completion_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Sam Bradford,Oklahoma,Big 12,Los Angeles,2010,1,1,1,Quarterback,76,236,2009,,39,69,0.565,562,2,0,8.1,4,-18,0,-4.5,12,7,5,1,1,0,4.79,NA,NA,NA,NA,NA,Y
Tim Tebow,Florida,SEC,Denver,2010,25,1,25,Quarterback,75,236,2009,75.8,213,314,0.678,2895,21,5,9.2,217,910,14,4.2,13,12,1,1,1,0,4.71,NA,38.5,115,6.66,4.17,Y
Jimmy Clausen,Notre Dame,FBS Independents,Carolina,2010,48,2,16,Quarterback,75,222,2009,67.7,289,425,0.68,3722,28,4,8.8,59,-95,3,-1.6,12,6,6,0,0,0,4.76,NA,NA,NA,NA,NA,Y
Colt McCoy,Texas,Big 12,Cleveland,2010,85,3,21,Quarterback,73,216,2009,73.9,332,470,0.706,3521,27,12,7.5,129,348,3,2.7,13,13,0,1,0,1,4.79,NA,NA,114,NA,NA,Y
Jonathan Crompton,Tennessee,SEC,Los Angeles,2010,168,5,37,Quarterback,75,222,2009,66.9,224,384,0.583,2800,27,13,7.3,44,-52,1,-1.2,12,7,5,1,0,1,NA,NA,NA,NA,NA,NA,N
Rusty Smith,Florida Atlantic,Sun Belt,Tennessee,2010,176,6,7,Quarterback,77,231,2009,69.9,145,253,0.573,1915,14,5,7.6,14,-27,1,-1.9,12,5,7,0,0,0,NA,NA,NA,NA,NA,NA,N
Dan LeFevour,Central Michigan,Mid-American,Chicago,2010,181,6,12,Quarterback,75,230,2009,72.4,318,456,0.697,3438,28,7,7.5,183,713,15,3.9,13,11,2,1,1,0,4.6,NA,29.5,110,6.93,4.22,Y
Joe Webb,UAB,Conference USA,Minnesota,2010,199,6,30,Quarterback,75,223,2009,63.1,162,271,0.598,2299,21,8,8.5,227,1427,11,6.3,12,5,7,0,0,0,NA,NA,NA,NA,NA,NA,N
Tony Pike,Cincinnati,Big East,Carolina,2010,204,6,35,Quarterback,78,223,2009,74.7,211,338,0.624,2520,29,6,7.5,31,6,2,0.2,12,12,0,1,0,1,4.9,NA,28.5,108,7.06,4.53,Y
Levi Brown,Troy,Sun Belt,Buffalo,2010,209,7,2,Quarterback,76,229,2009,67.7,321,504,0.637,4254,23,9,8.4,54,7,1,0.1,12,9,3,1,0,1,4.93,20,31.5,106,7.07,4.43,Y
