"","college_team","college_conference","nfl_team","year","overall","round","pick","name","position","height","weight","season_before_draft","rushing_car","rushing_yds","rushing_td","rushing_ypc","receiving_rec","receiving_yds","receiving_td","receiving_ypr","regular_season_games","regular_season_wins","regular_season_losses","postseason_games","postseason_wins","postseason_losses","forty","bench","vertical","broad_jump","cone","shuttle","attended_combine"
"1","Clemson","ACC","Buffalo",2010,9,1,9,"C.J. Spiller","Running Back",71,196,2009,216,1212,12,5.6,36,503,4,14,13,8,5,1,1,0,4.37,18,NA,NA,NA,NA,"Y"
"2","Fresno State","Western Athletic","Los Angeles",2010,12,1,12,"Ryan Mathews","Running Back",72,218,2009,276,1808,19,6.6,11,122,0,11.1,12,8,4,1,0,1,4.37,19,36,121,7,4.33,"Y"
"3","California","Pac-10","Detroit",2010,30,1,30,"Jahvid Best","Running Back",70,199,2009,141,867,12,6.1,22,213,4,9.7,12,8,4,1,0,1,4.34,18,32.5,113,6.75,4.17,"Y"
"4","Ole Miss","SEC","Kansas City",2010,36,2,4,"Dexter McCluster","Running Back",69,172,2009,181,1169,8,6.5,44,520,3,11.8,12,8,4,1,1,0,4.53,20,37.5,118,NA,4.06,"Y"
"5","Stanford","Pac-10","Minnesota",2010,51,2,19,"Toby Gerhart","Running Back",72,231,2009,343,1871,27,5.5,11,157,0,14.3,12,8,4,1,0,1,4.5,22,38,118,6.94,4.25,"Y"
"6","Auburn","SEC","Houston",2010,58,2,26,"Ben Tate","Running Back",71,220,2009,263,1362,10,5.2,20,105,0,5.3,12,7,5,1,1,0,4.34,26,40.5,124,6.91,4.12,"Y"
"7","Tennessee","SEC","Cleveland",2010,59,2,27,"Montario Hardesty","Running Back",72,225,2009,282,1345,13,4.8,25,302,1,12.1,12,7,5,1,0,1,4.49,21,41,124,6.87,4.14,"Y"
"8","USC","Pac-10","New York",2010,112,4,14,"Joe McKnight","Running Back",71,198,2009,164,1014,8,6.2,22,146,0,6.6,12,8,4,1,1,0,4.4,18,36.5,120,NA,NA,"Y"
"9","Georgia Tech","ACC","Pittsburgh",2010,188,6,19,"Jonathan Dwyer","Running Back",71,229,2009,235,1395,14,5.9,5,37,0,7.4,13,11,2,1,0,1,4.64,15,33,107,7.56,4.67,"Y"
"10","LSU","SEC","Philadelphia",2010,200,6,31,"Charles Scott","Running Back",71,238,2009,116,542,4,4.7,8,54,1,6.8,12,9,3,1,0,1,4.68,NA,30.5,111,6.98,4.47,"Y"
"11","Alabama","SEC","New Orleans",2011,28,1,28,"Mark Ingram","Running Back",69,215,2010,158,875,13,5.5,21,282,1,13.4,12,9,3,1,1,0,4.62,21,31.5,118,7.13,4.62,"Y"
