"","college_team","college_conference","nfl_team","year","overall","round","pick","name","position","height","weight","season_before_draft","receiving_rec","receiving_yds","receiving_td","receiving_ypr","regular_season_games","regular_season_wins","regular_season_losses","postseason_games","postseason_wins","postseason_losses","forty","bench","vertical","broad_jump","cone","shuttle","attended_combine"
"1","Georgia Tech","ACC","Denver",2010,22,1,22,"Demaryius Thomas","Wide Receiver",75,224,2009,46,1154,8,25.1,13,11,2,1,0,1,4.52,NA,NA,NA,NA,NA,"Y"
"2","Oklahoma State","Big 12","Dallas",2010,24,1,24,"Dez Bryant","Wide Receiver",74,225,2009,17,323,4,19,12,9,3,1,0,1,4.52,NA,NA,NA,NA,NA,"Y"
"3","Illinois","Big Ten","Tampa Bay",2010,39,2,7,"Arrelious Benn","Wide Receiver",73,219,2009,38,490,2,12.9,12,3,9,0,0,0,4.57,20,37,118,NA,NA,"Y"
"4","Notre Dame","FBS Independents","Seattle",2010,60,2,28,"Golden Tate","Wide Receiver",70,199,2009,93,1496,15,16.1,12,6,6,0,0,0,4.42,17,35,120,7.12,4.34,"Y"
"5","USC","Pac-10","Tennessee",2010,77,3,13,"Damian Williams","Wide Receiver",73,197,2009,70,1010,6,14.4,12,8,4,1,1,0,4.52,19,38,118,6.79,4.24,"Y"
"6","LSU","SEC","Carolina",2010,78,3,14,"Brandon LaFell","Wide Receiver",75,211,2009,57,792,11,13.9,12,9,3,1,0,1,4.58,NA,36,115,6.81,4.23,"Y"
"7","SMU","Conference USA","Pittsburgh",2010,82,3,18,"Emmanuel Sanders","Wide Receiver",71,186,2009,98,1339,7,13.7,12,7,5,1,1,0,4.4,12,39.5,126,6.64,4.1,"Y"
"8","Texas","Big 12","Cincinnati",2010,84,3,20,"Jordan Shipley","Wide Receiver",71,193,2009,116,1485,13,12.8,13,13,0,1,0,1,4.6,16,36.5,116,NA,NA,"Y"
"9","Minnesota","Big Ten","Denver",2010,87,3,23,"Eric Decker","Wide Receiver",75,217,2009,50,758,5,15.2,12,6,6,1,0,1,4.54,15,NA,NA,NA,NA,"Y"
"10","Ohio","Mid-American","New England",2010,90,3,26,"Taylor Price","Wide Receiver",72,204,2009,56,784,5,14,13,9,4,1,0,1,4.4,16,37,114,6.82,4.34,"Y"
"11","Cincinnati","Big East","Los Angeles",2010,99,4,1,"Mardy Gilyard","Wide Receiver",72,187,2009,87,1191,11,13.7,12,12,0,1,0,1,4.61,NA,39,116,6.92,4.4,"Y"
"12","Syracuse","Big East","Tampa Bay",2010,101,4,3,"Mike Williams","Wide Receiver",74,221,2009,49,746,6,15.2,12,4,8,0,0,0,4.53,8,33.5,116,6.9,4.31,"Y"
"13","UConn","Big East","Buffalo",2010,107,4,9,"Marcus Easley","Wide Receiver",75,210,2009,48,893,8,18.6,12,7,5,1,1,0,4.39,16,34,123,6.94,4.6,"Y"
