college_team,college_conference,nfl_team,year,overall,round,pick,name,position,height,weight,season_before_draft,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,RAS,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Georgia Tech,ACC,Denver,2010,22,1,22,Demaryius Thomas,Wide Receiver,75,224,2009,46,1154,8,25.1,13,11,2,1,0,1,NA,4.52,NA,NA,NA,NA,NA,Y
Oklahoma State,Big 12,Dallas,2010,24,1,24,Dez Bryant,Wide Receiver,74,225,2009,17,323,4,19,12,9,3,1,0,1,9.05,4.52,NA,NA,NA,NA,NA,Y
Illinois,Big Ten,Tampa Bay,2010,39,2,7,Arrelious Benn,Wide Receiver,73,219,2009,38,490,2,12.9,12,3,9,0,0,0,8.23,4.57,20,37,118,NA,NA,Y
Notre Dame,FBS Independents,Seattle,2010,60,2,28,Golden Tate,Wide Receiver,70,199,2009,93,1496,15,16.1,12,6,6,0,0,0,7.49,4.42,17,35,120,7.12,4.34,Y
USC,Pac-10,Tennessee,2010,77,3,13,Damian Williams,Wide Receiver,73,197,2009,70,1010,6,14.4,12,8,4,1,1,0,8.55,4.52,19,38,118,6.79,4.24,Y
LSU,SEC,Carolina,2010,78,3,14,Brandon LaFell,Wide Receiver,75,211,2009,57,792,11,13.9,12,9,3,1,0,1,4.88,4.58,NA,36,115,6.81,4.23,Y
SMU,Conference USA,Pittsburgh,2010,82,3,18,Emmanuel Sanders,Wide Receiver,71,186,2009,98,1339,7,13.7,12,7,5,1,1,0,9.38,4.4,12,39.5,126,6.64,4.1,Y
Texas,Big 12,Cincinnati,2010,84,3,20,Jordan Shipley,Wide Receiver,71,193,2009,116,1485,13,12.8,13,13,0,1,0,1,6.89,4.6,16,36.5,116,NA,NA,Y
Minnesota,Big Ten,Denver,2010,87,3,23,Eric Decker,Wide Receiver,75,217,2009,50,758,5,15.2,12,6,6,1,0,1,NA,4.54,15,NA,NA,NA,NA,Y
Ohio,Mid-American,New England,2010,90,3,26,Taylor Price,Wide Receiver,72,204,2009,56,784,5,14,13,9,4,1,0,1,8.56,4.4,16,37,114,6.82,4.34,Y
Cincinnati,Big East,Los Angeles,2010,99,4,1,Mardy Gilyard,Wide Receiver,72,187,2009,87,1191,11,13.7,12,12,0,1,0,1,4.28,4.61,NA,39,116,6.92,4.4,Y
Syracuse,Big East,Tampa Bay,2010,101,4,3,Mike Williams,Wide Receiver,74,221,2009,49,746,6,15.2,12,4,8,0,0,0,7.24,4.53,8,33.5,116,6.9,4.31,Y
UConn,Big East,Buffalo,2010,107,4,9,Marcus Easley,Wide Receiver,75,210,2009,48,893,8,18.6,12,7,5,1,1,0,8.6,4.39,16,34,123,6.94,4.6,Y
Clemson,ACC,Las Vegas,2010,108,4,10,Jacoby Ford,Wide Receiver,69,186,2009,56,779,6,13.9,13,8,5,1,1,0,5.79,4.28,15,33.5,115,7,4.44,Y
Utah,Mountain West,Baltimore,2010,156,5,25,David Reed,Wide Receiver,72,191,2009,81,1188,5,14.7,12,9,3,1,1,0,4.91,4.56,15,37,114,6.95,4.38,Y
Florida,SEC,Philadelphia,2010,159,5,28,Riley Cooper,Wide Receiver,75,222,2009,51,961,9,18.8,13,12,1,1,1,0,7.75,4.53,NA,33,114,NA,NA,Y
Kansas,Big 12,Atlanta,2010,165,5,34,Kerry Meier,Wide Receiver,74,224,2009,102,985,8,9.7,12,5,7,0,0,0,7.39,4.62,13,35,115,NA,4.23,Y
South Florida,Big East,Cleveland,2010,177,6,8,Carlton Mitchell,Wide Receiver,75,215,2009,40,706,4,17.7,12,7,5,1,1,0,8.85,4.46,16,36,122,6.96,4.55,Y
Kansas,Big 12,Cincinnati,2010,191,6,22,Dezmon Briscoe,Wide Receiver,74,207,2009,84,1337,9,15.9,12,5,7,0,0,0,2.15,4.66,9,33,115,7.1,4.57,Y
Central Michigan,Mid-American,Pittsburgh,2010,195,6,26,Antonio Brown,Wide Receiver,70,186,2009,110,1198,9,10.9,13,11,2,1,1,0,3.85,4.56,13,33.5,105,6.98,4.18,Y
Arizona State,Pac-10,San Francisco,2010,206,6,37,Kyle Williams,Wide Receiver,70,188,2009,57,815,8,14.3,12,4,8,0,0,0,6.08,4.4,11,33,118,7,4.19,Y
UCLA,Pac-10,Washington,2010,219,7,12,Terrence Austin,Wide Receiver,71,176,2009,37,455,4,12.3,12,6,6,1,1,0,4.47,NA,NA,NA,NA,NA,NA,N
Georgia,SEC,Cincinnati,2011,4,1,4,A.J. Green,Wide Receiver,76,211,2010,57,848,9,14.9,12,6,6,1,0,1,9.34,4.48,18,34.5,126,6.91,4.21,Y
Alabama,SEC,Atlanta,2011,6,1,6,Julio Jones,Wide Receiver,75,220,2010,78,1133,7,14.5,12,9,3,1,1,0,9.92,4.34,17,38.5,135,6.66,4.25,Y
Pittsburgh,Big East,Kansas City,2011,26,1,26,Jonathan Baldwin,Wide Receiver,76,228,2010,53,822,5,15.5,12,7,5,1,1,0,9.08,4.49,20,42,129,7.07,4.34,Y
Boise State,Western Athletic,Detroit,2011,44,2,12,Titus Young,Wide Receiver,71,174,2010,71,1215,9,17.1,12,11,1,1,1,0,5.3,4.43,NA,NA,123,NA,NA,Y
Maryland,ACC,Baltimore,2011,58,2,26,Torrey Smith,Wide Receiver,73,204,2010,67,1055,12,15.7,12,8,4,1,1,0,9.85,4.41,19,41,126,6.72,4.13,Y
Kentucky,SEC,Green Bay,2011,64,2,32,Randall Cobb,Wide Receiver,70,191,2010,84,1017,7,12.1,12,6,6,1,0,1,3.65,4.46,16,33.5,115,7.08,4.34,Y
Boise State,Western Athletic,Los Angeles,2011,78,3,14,Austin Pettis,Wide Receiver,75,209,2010,71,951,10,13.4,12,11,1,1,1,0,7.99,4.56,14,33.5,120,6.68,3.88,Y
Miami,ACC,Washington,2011,79,3,15,Leonard Hankerson,Wide Receiver,74,209,2010,72,1156,13,16.1,12,7,5,1,0,1,7.35,4.4,14,36,117,6.94,4.21,Y
San Diego State,Mountain West,Los Angeles,2011,82,3,18,Vincent Brown,Wide Receiver,71,184,2010,69,1352,10,19.6,12,8,4,1,1,0,2.71,4.68,12,33.5,121,6.64,4.25,Y
Troy,Sun Belt,New York,2011,83,3,19,Jerrel Jernigan,Wide Receiver,69,185,2010,84,822,6,9.8,12,7,5,1,1,0,5.55,4.46,11,37.5,124,7.07,4.25,Y
Georgia,SEC,Seattle,2011,107,4,10,Kris Durham,Wide Receiver,77,214,2010,32,659,3,20.6,12,6,6,1,0,1,8.24,NA,NA,NA,NA,NA,NA,N
Indiana,Big Ten,Baltimore,2011,123,4,26,Tandon Doss,Wide Receiver,74,201,2010,63,706,7,11.2,12,5,7,0,0,0,4.85,4.62,14,NA,NA,NA,NA,Y
Hawai'i,Western Athletic,Carolina,2011,132,5,1,Kealoha Pilares,Wide Receiver,70,199,2010,88,1306,15,14.8,13,10,3,1,0,1,9.55,4.42,19,NA,NA,NA,NA,Y
Tennessee,SEC,Las Vegas,2011,148,5,17,Denarius Moore,Wide Receiver,72,194,2010,47,981,9,20.9,12,6,6,1,0,1,7.79,4.43,13,36,118,6.78,4.15,Y
TCU,Mountain West,New York,2011,153,5,22,Jeremy Kerley,Wide Receiver,70,189,2010,56,575,10,10.3,12,12,0,1,1,0,4.95,4.56,16,34.5,120,NA,NA,Y
Nebraska,Big 12,Washington,2011,155,5,24,Niles Paul,Wide Receiver,73,224,2010,39,516,1,13.2,13,10,3,1,0,1,8.79,4.45,24,34.5,117,6.9,4.14,Y
